Checked,G1 min,G1 max,G2 min,G2 max,G3 min,G3 max,G4 min,G4 max,G5 min,G5 max,G6 min,G6 max,G7 min,G7 max,G8 min,G8 max,G9 min,G9 max,G10 min,G10 max,T/F
0,0.016665,0.023336,0,0.017362,0.003933,0.006667,0,0.000133,0,0.006667,0,0.006667,0.004067,0.006667,0.013851,0.016228,0,0,0,0.00173,0.850467
-1,0.016665,0.023336,0,0.017362,0.003933,0.006667,0.000133,0.006667,0,0.006667,0,0.006667,0.004067,0.006667,0.013851,0.016228,0,0,0,0.00173,0
-1,0.016665,0.023336,0,0.017362,0.004133,0.005096,0,0.006667,0,0.000133,0,0.006667,0.003333,0.004067,0.014379,0.016211,0,0,0,0.00173,0.740741
-1,0.016665,0.023336,0,0.017362,0.004133,0.005096,0,0.006667,0.000133,0.006667,0,0.006667,0.003333,0.004067,0.014379,0.016211,0,0,0,0.00173,0
0,0.016665,0.023336,0,0.017362,0.003933,0.006667,0,0.000133,0,0.006667,0,0.000133,0.004067,0.006667,0.012267,0.013851,0,0,0,0.00173,0.45614
-1,0.016665,0.023336,0,0.017362,0.003933,0.006667,0.000133,0.006667,0,0.006667,0,0.000133,0.004067,0.006667,0.012267,0.013851,0,0,0,0.00173,0
0,0.016665,0.023336,0,0.017362,0.003933,0.006667,0,0.000133,0,0.000133,0,0.006667,0.004067,0.006667,0.013851,0.016228,0,0,0,0.00173,0.883495
-1,0.016665,0.023336,0,0.017362,0.003933,0.006667,0,0.000133,0.000133,0.006667,0,0.006667,0.004067,0.006667,0.013851,0.016228,0,0,0,0.00173,0
0,0.016665,0.023336,0,0.017362,0.003933,0.006667,0,0.000133,0,0.000133,0,0.000133,0.004067,0.006667,0.012267,0.013851,0,0,0,0.00173,0.536082
-1,0.016665,0.023336,0,0.017362,0.003933,0.006667,0,0.000133,0.000133,0.006667,0,0.000133,0.004067,0.006667,0.012267,0.013851,0,0,0,0.00173,0
0,0.016665,0.023336,0,0.017362,0.003933,0.006667,0,0.000133,0,0.000133,0,0.000133,0.004067,0.006667,0.013851,0.016228,0,0,0,0.00173,0.919192
-1,0.016665,0.023336,0,0.017362,0.003933,0.006667,0,0.000133,0,0.000133,0.000133,0.006667,0.004067,0.006667,0.013851,0.016228,0,0,0,0.00173,0
-1,0.016665,0.023336,0,0.017362,0.003933,0.005191,0,0.000133,0,0.000133,0,0.000133,0.004067,0.006667,0.012267,0.013851,0,0,0,0.00173,1
0,0.016665,0.023336,0,0.017362,0.005191,0.006667,0,0.000133,0,0.000133,0,0.000133,0.004067,0.006667,0.012267,0.013851,0,0,0,0.00173,0.391892
-1,0.016665,0.023336,0,0.017362,0.003933,0.006667,0,0.000133,0,0.000133,0,0.000133,0.004067,0.006407,0.013851,0.016228,0,0,0,0.00173,0.961111
-1,0.016665,0.023336,0,0.017362,0.003933,0.006667,0,0.000133,0,0.000133,0,0.000133,0.006407,0.006667,0.013851,0.016228,0,0,0,0.00173,0.5
-1,0.016665,0.023336,0,0.017362,0.005191,0.006667,0,0.000133,0,0.000133,0,0.000133,0.004067,0.005679,0.012267,0.013851,0,0,0,0.00173,0.705882
-1,0.016665,0.023336,0,0.017362,0.005191,0.006667,0,0.000133,0,0.000133,0,0.000133,0.005679,0.006667,0.012267,0.013851,0,0,0,0.00173,0.125
